"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";0.671020727502729;0.804890664081621;0.670174023101584;0.998539156650515;0.6799684982922;0.279202562662265;0.674892656637898;0.383179946215972;0.991560801925195;0.532207851200587;0.516209320908066;0.975461560146859
"norm. ext. rates with durations";0.000474052264563212;0.00202632012973968;0.0181336337914141;0.0407613740577463;5.51891993256103e-05;2.88199910816503e-05;7.36402813161021e-05;6.44558419756351e-05;0.000921861900521508;0.00135881769372562;0.026910129925689;0.0188425247592015
"orig. rates with durations";0.099218608708863;0.165058048440864;0.0258582218193207;0.110128664134978;0.128958332423617;0.469162638803621;0.217970826712237;0.506463983199903;0.0715459598613026;0.253494506279129;0.0807946859531938;0.242449538107183
"norm. orig. rates with  durations";0.0106843141255267;0.00372019209057787;0.182062042291083;0.207372371894933;0.0145593818401545;0.00714356888858116;0.0991312324614641;0.0671318938843922;0.061825846169726;0.016743834937069;0.428349871851619;0.364712007363298
"extinctions";0.000136323814942707;3.76773670449435e-05;1.21304250880251e-05;0.000384664161217566;0.000124441066018735;1.17818846945986e-05;8.90777105937445e-06;6.49587690048993e-05;0.000113012813796772;1.12667317674005e-05;2.08606183903066e-06;4.19860958690103e-05
"post-Ordovician extinctions";0.063044228258951;0.0191238592365677;0.00913838625146529;0.139407283948413;0.0813427133328268;0.00466816428393277;0.00637715676594456;0.0305885415527428;0.0842665058681548;0.0110516866699248;0.00620715462553612;0.063044228258951
"originations";0.000545925314218481;0.00225086348752841;0.000540008327148737;0.0628215831529318;0.000123360167481787;0.00402606240712991;0.000347860528207798;0.00509872300226698;0.000243848893349467;0.0031650427541403;0.000218166200295564;0.0503157398012372
"post-Ordovician originations";0.152940711682364;0.146057917665939;0.18643373240597;0.168667514495155;0.0662489519895501;0.0981753934955922;0.0620685729517362;0.0599646490458553;0.113484081916663;0.204539297605402;0.119509956631291;0.115992424397723
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.02;0.002;0.002;0.002;0.02;0.002;0.02;0.02
"end-Permian is highest";0.002;0.02;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.138963411274641;0.383893382657542;0.0526957190379375;0.684402225160847;0.0826916374992539;0.0437626838512818;0.0831121376239219;0.0853149801953846;0.515754062088475;0.185423517849501;0.438357206664433;0.390516190620763
"originations log-normal (p-values)";0.23428799477651;0.550522827898017;0.829479094106137;0.0010315891681373;0.825163875318077;0.915124508912446;0.98729074657056;0.29598414301083;0.77031667361134;0.926454334480416;0.00986812929810246;0.00772495277569034
"origination and lagged diversity";0.0669875417396028;0.388296810472357;0.335678097572318;0.070458680069189;0.0263649737790779;0.165038841587165;0.112796741782659;0.0417435216951109;0.00311758442756282;0.0628421003057549;0.0462183442099222;0.025971388177009
"diversity and lagged extinction";0.00321955914741646;0.0646400128717608;0.117208035019426;0.111017678910409;0.0243716563421752;0.295332584434277;0.119328860192211;0.155393401985018;0.0017464455502449;0.212447420765488;0.101968846074691;0.0915257018389602
"diversity and lagged origination";0.810679064704634;0.000237530910175751;0.0813390071199469;0.533321254919819;0.460668269064261;2.74546552007958e-06;0.00155338764253769;0.0062477789399381;0.324741526122754;0.000310184507753394;0.230474161361461;0.819117187500797
