"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";0.0283502433754463;0.175111235608739;0.0363783409890655;0.00683730870044147;0.426252917952235;0.187394085892941;0.144206433740195;0.0386466469248614;0.22883614432232;0.149082649293205;0.0510266011194619;0.00912013835063929
"norm. ext. rates with durations";6.76762535861976e-06;0.00080712161548602;0.00101762756022466;0.105886764082838;1.17877305055671e-11;8.01539668957905e-08;2.16023647551047e-09;3.32179112898423e-05;4.37089294636815e-08;3.70119367953375e-07;6.56604669052438e-06;0.00745669721097012
"orig. rates with durations";0.000829801119699983;0.0698584517159457;0.00233440999240981;0.00140235464091334;0.0963839272641029;0.137682633151111;0.136895812118891;0.211609040810145;0.0238770594992118;0.0852989198336472;0.0204237948807255;0.0327540914613521
"norm. orig. rates with  durations";1.43951884779036e-07;3.32443123866359e-07;0.000100653087383052;0.00300851456321373;1.45152976718362e-12;2.87922342452362e-09;1.66574246232329e-08;2.35310535242062e-07;1.13825925592159e-09;4.82160034450241e-07;6.17830786566869e-05;0.000127508606298526
"extinctions";4.79410854995813e-07;0.000223450639431031;0.000234376749603251;0.000803715436631762;4.52702526075162e-09;5.56144774124791e-05;1.30736838142518e-05;1.27957520684452e-05;4.99924747803799e-09;0.000165090582701558;0.000210536907875193;0.000455120881910957
"post-Ordovician extinctions";0.0564208539013529;0.258641870674504;0.243182750927505;0.202354977458512;0.024841989970466;0.35110300956023;0.38683401196607;0.283739475013017;0.0166912725601834;0.392134404394718;0.452341243745727;0.377662363230356
"originations";2.43508681772615e-05;0.000736066955354176;0.000290586625591102;0.00088004209752613;8.83929224897089e-09;0.000265719181437443;5.54725704398258e-05;4.94678544412534e-05;4.85349441544622e-07;0.000926851255988945;0.000232939702560699;0.000319038784374459
"post-Ordovician originations";0.622128246187955;0.681412349574042;0.662641930915526;0.826154319060515;0.048369399017689;0.598007006926567;0.531226004593812;0.43043424578779;0.219957362803634;0.873355143941311;0.817683558626466;0.609071977613849
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Permian is highest";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.665007630156689;0.170507928916119;0.012007273894476;0.00311446382353293;0.0952935871390386;0.14350350785524;0.000109084818166469;0.0888385967877194;0.840145462616316;0.0556898801201456;0.00145068394038172;0.0034874089170866
"originations log-normal (p-values)";0.538441925232565;0.0469519242693573;3.58807698314354e-05;0.356582803616727;0.945870681438959;0.701861007445951;0.000875848540814814;0.000467521279774831;0.546870190309462;0.381606951615252;0.000657657780849498;0.0185899910815972
"origination and lagged diversity";0.000713196352371938;0.0107832293463594;0.0726481376050973;0.0954768006370536;0.00312973940437961;0.140843934140852;0.243142833339335;0.641919189706011;2.33821975513205e-06;0.00308625752746471;0.0033525824660895;0.0150843848529056
"diversity and lagged extinction";2.3129532692443e-08;0.00030739808241843;0.000618392886848241;0.00280213302450708;7.6581559517566e-05;0.31882539761567;0.0858253412720281;0.255867228112109;1.15192547307297e-08;0.0454233571157274;0.00145323450379602;0.00913037521804354
"diversity and lagged origination";0.959549341510236;0.247992008289109;0.136889992838548;0.85046110253033;0.227519430640687;4.97915159975364e-05;4.76238007606656e-05;0.0010629510209621;0.932166970430456;0.182145363911819;0.268820034330393;0.426328862058275
