"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";"-0.06";"-0.04";"0.06";"0";"-0.06";"-0.16";"-0.06";"-0.13";"0";"-0.09";"0.1";"0"
"norm. ext. rates with durations";"-0.49";"-0.44";"-0.34";"-0.3";"-0.56";"-0.58";"-0.55";"-0.55";"-0.47";"-0.46";"-0.32";"-0.34"
"orig. rates with durations";"0.25";"0.21";"0.32";"0.23";"0.23";"0.11";"0.19";"0.1";"0.27";"0.17";"0.26";"0.17"
"norm. orig. rates with  durations";"-0.37";"-0.42";"-0.2";"-0.19";"-0.36";"-0.4";"-0.25";"-0.27";"-0.28";"-0.35";"-0.12";"-0.13"
"extinctions";"0.55";"0.58";"0.61";"0.51";"0.55";"0.61";"0.62";"0.57";"0.55";"0.61";"0.65";"0.57"
"post-Ordovician extinctions";"0.3";"0.38";"0.42";"0.24";"0.29";"0.45";"0.44";"0.35";"0.28";"0.41";"0.44";"0.3"
"originations";"0.5";"0.45";"0.5";"0.27";"0.55";"0.43";"0.52";"0.41";"0.53";"0.43";"0.53";"0.29"
"post-Ordovician originations";"0.24";"0.24";"0.22";"0.23";"0.3";"0.27";"0.31";"0.31";"0.26";"0.21";"0.26";"0.26"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"no";"yes";"yes";"yes";"no";"yes";"no";"no"
"end-Permian is highest";"yes";"no";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"5";"3";"4";"3";"2";"4";"3";"3";"2";"3";"2";"3"
"extinctions log-normal (p-values)";"0.139";"0.384";"0.053";"0.684";"0.083";"0.044";"0.083";"0.085";"0.516";"0.185";"0.438";"0.391"
"originations log-normal (p-values)";"0.234";"0.551";"0.829";"0.001";"0.825";"0.915";"0.987";"0.296";"0.77";"0.926";"0.01";"0.008"
"origination and lagged diversity";"0.29";"0.14";"0.15";"0.29";"0.35";"0.22";"0.25";"0.32";"0.45";"0.29";"0.31";"0.35"
"diversity and lagged extinction";"0.45";"0.29";"0.25";"0.25";"0.35";"0.17";"0.25";"0.23";"0.48";"0.2";"0.26";"0.27"
"diversity and lagged origination";"-0.04";"0.55";"0.28";"0.1";"0.12";"0.67";"0.48";"0.42";"-0.16";"0.54";"0.19";"0.04"
