"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";"0.23";"0.16";"0.26";"0.24";"0.08";"0.15";"0.18";"0.17";"0.13";"0.16";"0.24";"0.24"
"norm. ext. rates with durations";"-0.46";"-0.35";"-0.32";"-0.24";"-0.64";"-0.53";"-0.57";"-0.51";"-0.54";"-0.51";"-0.44";"-0.36"
"orig. rates with durations";"0.34";"0.19";"0.31";"0.32";"0.17";"0.16";"0.14";"0.12";"0.24";"0.18";"0.24";"0.22"
"norm. orig. rates with  durations";"-0.52";"-0.51";"-0.41";"-0.32";"-0.66";"-0.57";"-0.57";"-0.52";"-0.58";"-0.5";"-0.43";"-0.41"
"extinctions";"0.52";"0.38";"0.39";"0.35";"0.59";"0.43";"0.46";"0.46";"0.59";"0.39";"0.39";"0.37"
"post-Ordovician extinctions";"0.22";"0.13";"0.14";"0.15";"0.27";"0.12";"0.11";"0.14";"0.29";"0.1";"0.09";"0.1"
"originations";"0.44";"0.36";"0.36";"0.32";"0.59";"0.39";"0.42";"0.42";"0.52";"0.35";"0.36";"0.36"
"post-Ordovician originations";"0.05";"0.05";"0.04";"0.01";"0.25";"0.06";"0.08";"0.1";"0.15";"0.02";"0.02";"0.05"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Permian is highest";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"4";"3";"5";"3";"3";"3";"3";"4";"3";"3";"6";"3"
"extinctions log-normal (p-values)";"0.628";"0.115";"0.016";"0.001";"0.104";"0.028";"<0.001";"0.102";"0.794";"0.102";"0.01";"<0.001"
"originations log-normal (p-values)";"0.502";"0.029";"<0.001";"0.276";"0.937";"0.862";"0.001";"0.001";"0.427";"0.561";"<0.001";"0.079"
"origination and lagged diversity";"0.39";"0.3";"0.23";"0.21";"0.34";"0.18";"0.14";"0.05";"0.52";"0.33";"0.33";"0.27"
"diversity and lagged extinction";"0.61";"0.41";"0.41";"0.35";"0.45";"0.12";"0.21";"0.13";"0.63";"0.24";"0.38";"0.31"
"extinction and lagged origination";"0.02";"0.13";"0.16";"-0.03";"0.16";"0.41";"0.47";"0.43";"0.02";"0.17";"0.13";"-0.09"
