"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";0.994767801260488;0.671020727502729;0.847378819366271;0.958794720556961;0.500851053830515;0.0996260589261408;0.494615377138197;0.298005757580278;0.619908426809003;0.52630888898124;0.445777651339901;0.995780343992119
"norm. ext. rates with durations";0.00391996982822466;0.00192399132318126;0.012209215275088;0.0278266288285636;0.000112711226859698;1.01303696355463e-05;0.000168982778493242;3.94022515145611e-05;0.00801913832218611;0.00193338617088812;0.0352194356937297;0.0206965489671804
"orig. rates with durations";0.044059102306273;0.121855291727907;0.0470358424288426;0.0391275448448339;0.110147195519651;0.737306503229945;0.213647634197708;0.26892943750609;0.0365286840679065;0.308582825406517;0.146186361617295;0.155289880474433
"norm. orig. rates with  durations";0.058199163711834;0.00470085013518688;0.0581200874328125;0.306227160805563;0.0300781257959673;0.00221509550361541;0.117180862750523;0.108384857960807;0.157102862209651;0.0176022604929148;0.184389550080097;0.419262172017416
"extinctions";1.60870152188792e-05;3.42458281357158e-05;1.57795365435152e-05;0.000421848128099985;0.000161102682234371;0.000251751953541802;3.31005500481987e-05;0.000181342005771962;1.77099001320726e-05;2.83632555404342e-05;1.1883897881307e-06;7.49426506677449e-05
"post-Ordovician extinctions";0.0347210725951566;0.0153665293909208;0.0113782017013989;0.156075236691403;0.102929723998688;0.0575259830416042;0.02085029915997;0.0743609802754374;0.0577350904603865;0.0215997778362746;0.00410968048049326;0.0900998252298901
"originations";9.91244711396256e-05;0.00200537623350816;0.00118496047038358;0.00171907063429545;8.88172079200407e-05;0.00629668446007054;0.000693794172283019;0.000806554589101781;5.3156114011741e-05;0.00391168805972869;0.00102119085280168;0.00203891942978262
"post-Ordovician originations";0.117901184884954;0.126786846128368;0.150620417300445;0.15411068024692;0.0524880490087066;0.198670777655159;0.039062220082094;0.0352501236460673;0.0976201991606348;0.265018440362345;0.152552179284394;0.159256682108378
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.02;0.002;0.002;0.002;0.02;0.002;0.02;0.002
"end-Permian is highest";0.002;0.02;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.151350926123097;0.433565287792477;0.0767451943326611;0.603145421682177;0.268048952218669;0.135088536213227;0.136412001503062;0.126467326249622;0.869547401201523;0.274720059117364;0.801689216016601;0.449484616196851
"originations log-normal (p-values)";0.304062967273247;0.45516985403935;0.770366304459535;0.0236764907848725;0.257518750687853;0.859548647662821;0.844952963490626;0.597510460434331;0.784500103693835;0.861995658155667;0.0243991391550186;0.147681658009132
"origination and lagged diversity";0.0654707392885707;0.398640369561785;0.219869285728346;0.284268798213789;0.089063362557404;0.139582572891508;0.222828878820652;0.234753072642588;0.00689939195445602;0.0401458935721478;0.0553144191199452;0.102205676824545
"diversity and lagged extinction";0.00951643726278276;0.0789857690858791;0.118795939024291;0.148358008578441;0.0245203389421453;0.298831080172579;0.0559284608140119;0.0842665058681548;0.00631742961395186;0.250897764505387;0.113565837241605;0.131518356581622
"extinction and lagged origination";0.992634167167773;0.000286974157524495;0.0864186475868976;0.521898608663383;0.77308511501911;0.000259068159815608;0.00385186046865511;0.00849884400244566;0.148043923939742;0.00146095360841858;0.323660397549112;0.659342467331278
