"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";0.0276298390444639;0.160245981451762;0.0128938014849796;0.0164439154382288;0.459320353907397;0.165512367623009;0.0759119909474893;0.107868501618191;0.222103947194209;0.118545449536072;0.0225912182436102;0.0273442294774885
"norm. ext. rates with durations";8.75635678009497e-06;0.00065609858746167;0.0026237891580157;0.0304642375655395;4.48773486315743e-11;1.26818060168116e-07;2.18480285911655e-08;9.00615723206127e-07;7.77877015493161e-08;5.17314853841172e-07;1.77147166962304e-05;0.000350996596104792
"orig. rates with durations";0.00104980511081454;0.0630266034105363;0.00605365926733259;0.00405418851213082;0.107344283584989;0.147842061422922;0.213765761597644;0.312052230277102;0.0237928299684502;0.0920157940533594;0.0439459707887381;0.0703460890522314
"norm. orig. rates with  durations";1.65125428346135e-07;3.66872607350764e-07;4.7502795013286e-05;0.00205647611507813;2.44070662285394e-12;4.04385181696433e-09;6.64267432503352e-09;2.11954634116971e-07;2.08622133789214e-09;2.86748102340246e-07;3.4557400057422e-05;0.000106961051813045
"extinctions";1.82505941969201e-07;0.000270598821061037;0.000205216712077435;0.00049935262036452;0;5.99308941816158e-05;9.20383780448624e-06;8.96976479117215e-06;1.00582959762683e-09;0.000201112938837953;0.000143928676669317;0.000385217528154029
"post-Ordovician extinctions";0.0436551832820659;0.325146491640075;0.249834616711086;0.227962901159844;0.00785943009793683;0.438023095959094;0.335619778554666;0.264155696347702;0.00900053948040791;0.497767845951773;0.430083111707213;0.368143243364067
"originations";2.4198157787943e-05;0.000974570412926956;0.000705790692866252;0.00296696027397733;2.10223525278962e-09;0.000290278413480479;0.000157405682138553;0.000103830330623488;3.95500094158519e-07;0.0013174042769654;0.000575883399812124;0.00087939363924509
"post-Ordovician originations";0.620225583063049;0.787634028374539;0.660472506546564;0.960671065057955;0.0258219178981349;0.664596795506598;0.617481700910353;0.452521850199617;0.213316524428095;0.945811026469905;0.851511940453313;0.739308526666612
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Permian is highest";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.620403228994443;0.0314069901243342;0.231977400957792;0.000342306728905145;0.0548851599512851;0.00494801963939501;0.000669847289064703;0.202260059699936;0.873765421306897;0.000175345512421299;1.44167983742712e-06;0.00216880179803578
"originations log-normal (p-values)";0.370471196971253;0.0108563245765477;4.58658979136611e-07;0.000135837571594036;0.882579481624454;0.91557215480331;0.000682124749891609;0.00016095355361809;0.472482708068978;0.446636800332162;0.000312402805540153;0.0192587462289897
"origination and lagged diversity";0.00086194591105813;0.0138484231966395;0.0536678343728082;0.0854035867500865;0.0015666398567194;0.137362671540474;0.245920450444975;0.592854784591248;4.2760108858313e-07;0.00381186801040374;0.00470192764776734;0.0156523563932276
"diversity and lagged extinction";8.65169167544631e-09;0.000476139802236344;0.000725481147879307;0.0052092664209339;7.69493194073174e-05;0.29068338417939;0.0878607304846085;0.273234413225585;4.50558860914729e-09;0.0309516648031285;0.0014260705749162;0.00812839510264151
"extinction and lagged origination";0.936359943625755;0.378959604087266;0.165156092040943;0.874297526069907;0.453053406040585;2.47829703030911e-05;2.87009589403847e-05;5.30200639304186e-05;0.953748073766979;0.187116479374293;0.246644133179175;0.627399100463808
