"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";"0";"-0.06";"0.03";"-0.01";"-0.1";"-0.26";"-0.11";"-0.16";"0.07";"-0.1";"0.12";"0"
"norm. ext. rates with durations";"-0.41";"-0.45";"-0.37";"-0.32";"-0.54";"-0.63";"-0.54";"-0.58";"-0.38";"-0.45";"-0.31";"-0.34"
"orig. rates with durations";"0.3";"0.23";"0.29";"0.31";"0.24";"0.05";"0.19";"0.17";"0.31";"0.15";"0.22";"0.21"
"norm. orig. rates with  durations";"-0.28";"-0.41";"-0.28";"-0.15";"-0.32";"-0.46";"-0.24";"-0.25";"-0.21";"-0.35";"-0.2";"-0.12"
"extinctions";"0.6";"0.58";"0.6";"0.5";"0.55";"0.55";"0.6";"0.55";"0.6";"0.58";"0.66";"0.56"
"post-Ordovician extinctions";"0.34";"0.39";"0.41";"0.23";"0.27";"0.33";"0.39";"0.3";"0.31";"0.37";"0.46";"0.28"
"originations";"0.55";"0.45";"0.47";"0.46";"0.56";"0.43";"0.51";"0.5";"0.57";"0.42";"0.48";"0.45"
"post-Ordovician originations";"0.26";"0.25";"0.24";"0.24";"0.32";"0.23";"0.35";"0.35";"0.27";"0.19";"0.24";"0.23"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"no";"yes";"yes";"yes";"no";"yes";"no";"yes"
"end-Permian is highest";"yes";"no";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"4";"3";"4";"4";"2";"3";"3";"3";"2";"3";"2";"3"
"extinctions log-normal (p-values)";"0.151";"0.434";"0.077";"0.603";"0.268";"0.135";"0.136";"0.126";"0.87";"0.275";"0.802";"0.449"
"originations log-normal (p-values)";"0.304";"0.455";"0.77";"0.024";"0.258";"0.86";"0.845";"0.598";"0.785";"0.862";"0.024";"0.148"
"origination and lagged diversity";"0.29";"0.14";"0.2";"0.17";"0.28";"0.25";"0.2";"0.2";"0.42";"0.32";"0.3";"0.26"
"diversity and lagged extinction";"0.4";"0.28";"0.25";"0.23";"0.37";"0.18";"0.31";"0.28";"0.42";"0.18";"0.25";"0.24"
"extinction and lagged origination";"0";"0.54";"0.27";"0.1";"0.05";"0.57";"0.47";"0.43";"-0.23";"0.49";"0.16";"0.07"
