"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";"0.23";"0.15";"0.26";"0.25";"0.08";"0.15";"0.19";"0.17";"0.13";"0.17";"0.24";"0.23"
"norm. ext. rates with durations";"-0.45";"-0.35";"-0.32";"-0.23";"-0.63";"-0.53";"-0.55";"-0.49";"-0.53";"-0.5";"-0.44";"-0.37"
"orig. rates with durations";"0.34";"0.2";"0.29";"0.3";"0.17";"0.15";"0.13";"0.11";"0.24";"0.18";"0.21";"0.19"
"norm. orig. rates with  durations";"-0.52";"-0.51";"-0.42";"-0.32";"-0.66";"-0.57";"-0.57";"-0.52";"-0.58";"-0.51";"-0.42";"-0.4"
"extinctions";"0.54";"0.39";"0.4";"0.37";"0.62";"0.42";"0.47";"0.47";"0.6";"0.4";"0.4";"0.38"
"post-Ordovician extinctions";"0.24";"0.12";"0.14";"0.15";"0.32";"0.09";"0.12";"0.14";"0.31";"0.08";"0.1";"0.11"
"originations";"0.45";"0.36";"0.36";"0.32";"0.6";"0.39";"0.4";"0.41";"0.52";"0.35";"0.37";"0.36"
"post-Ordovician originations";"0.06";"0.03";"0.05";"0.01";"0.27";"0.05";"0.06";"0.09";"0.15";"0.01";"0.02";"0.04"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Permian is highest";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"4";"3";"5";"3";"3";"3";"3";"4";"3";"3";"6";"3"
"extinctions log-normal (p-values)";"0.62";"0.031";"0.232";"<0.001";"0.055";"0.005";"0.001";"0.202";"0.874";"<0.001";"<0.001";"0.002"
"originations log-normal (p-values)";"0.37";"0.011";"<0.001";"<0.001";"0.883";"0.916";"0.001";"<0.001";"0.472";"0.447";"<0.001";"0.019"
"origination and lagged diversity";"0.38";"0.29";"0.23";"0.2";"0.36";"0.17";"0.14";"0.06";"0.56";"0.33";"0.33";"0.28"
"diversity and lagged extinction";"0.62";"0.4";"0.39";"0.32";"0.45";"0.12";"0.2";"0.13";"0.62";"0.25";"0.37";"0.31"
"extinction and lagged origination";"-0.01";"0.1";"0.16";"-0.02";"0.09";"0.47";"0.47";"0.46";"-0.01";"0.15";"0.14";"-0.06"
