"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";0.953858100089111;0.772911046589102;0.711318915004293;0.919956249846947;0.629873946614196;0.23017356744839;0.70328466914195;0.3472364761798;0.618269596251188;0.505395601275926;0.466631180436311;0.897057581077059
"norm. ext. rates with durations";0.00285678669993481;0.00204933661096828;0.0171789760104689;0.0329534842648513;5.5955509670545e-05;3.4050278703986e-05;5.43174188796658e-05;2.96498343323122e-05;0.00444016297351319;0.00131584085161953;0.0295991687845621;0.0179254851071776
"orig. rates with durations";0.0466366332851548;0.176068827758062;0.0610461034860497;0.0478639251285232;0.129278703046704;0.511930087882462;0.244679884851988;0.278423947542786;0.0361209759015269;0.295578011213586;0.175800671906107;0.127048600558518
"norm. orig. rates with  durations";0.0528100426827562;0.00371460626884729;0.052236126720371;0.282375083067381;0.0161981231762511;0.0055802417289292;0.0683295397860067;0.104650183009283;0.155122870441446;0.0136731461840568;0.204540117570429;0.480052771157466
"extinctions";5.60380946639033e-05;3.78484278351228e-05;2.08228279230897e-05;0.000495268066388881;0.000117566858960448;2.02078275967829e-05;1.44289912753259e-05;0.000138701194614494;3.87145296223102e-05;2.54875355297252e-05;3.37787806608923e-06;0.000120488195095739
"post-Ordovician extinctions";0.0719499924498649;0.0188319282318241;0.0130842471491601;0.164117510988922;0.0820660841176306;0.00606850486969113;0.00945602527157724;0.0538209021665339;0.0959691753146689;0.0216812991889584;0.00925640722780787;0.127804459105669
"originations";0.00017491040772137;0.00266492801040718;0.00131593938610066;0.00211447673023028;0.000124984749669765;0.00339411209382833;0.00111634445648504;0.00161294221827068;8.26756797133469e-05;0.00330753968082378;0.00071518950761866;0.00197889607918144
"post-Ordovician originations";0.152164374397888;0.169504536297003;0.162892283351181;0.17118761742427;0.0668640402963869;0.0895804262150098;0.0695821538655924;0.0607229935473061;0.128486274792657;0.211331091376492;0.129514123121132;0.138682488174183
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.02;0.002;0.002;0.002;0.02;0.002;0.02;0.02
"end-Permian is highest";0.002;0.02;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.158776692160355;0.488658362856177;0.0492452852952299;0.653387960452897;0.118950296713419;0.0287260778403046;0.0559965310381472;0.0624206781788299;0.707579378774902;0.386320761782929;0.35583394964245;0.432488040714569
"originations log-normal (p-values)";0.180682781149238;0.627895528831919;0.63248230092247;0.00234310791314378;0.815556560405179;0.93481180965183;0.993240173334738;0.428992317823148;0.67165014418829;0.841982855287827;0.0350515200765204;0.0476391044186974
"origination and lagged diversity";0.134999893930744;0.431905106307189;0.28576123954614;0.353078865377219;0.0327036077231639;0.212040309952103;0.109509941863207;0.129518891101948;0.00871526248380204;0.0738873620729638;0.0833418973935448;0.181588272430888
"diversity and lagged extinction";0.00437834598414501;0.074071419286728;0.0959587585666785;0.141258188559335;0.0242975902335577;0.386488102680437;0.117471556955044;0.16233540790175;0.00489431186331703;0.205999213529813;0.125588788121181;0.0973206738991658
"extinction and lagged origination";0.920834486643606;0.000276689017651244;0.133540949337927;0.631199135771725;0.515527516671684;2.59330466223342e-06;0.00611048095812715;0.0196857139887811;0.239650909210448;0.00115896392597931;0.191619319834529;0.608134591434436
